Index,Channel,City_Town,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
0,Retail,Dhahran,"$11,170.00 ",1077,"$8,814.00 ","$2,194.00 ",1976,143
1,Retail,Dammam,"$21,217.00 ",621,"$14,982.00 ","$3,095.00 ",6707,602
2,Hotels,Khobar,"$5,963.00 ",365,"$6,192.00 ",$425.00 ,1716,750
3,Retail,Khobar,"$9,413.00 ",826,"$5,126.00 ",$666.00 ,1795,1451
4,Hotels,Dhahran,"$5,969.00 ",199,"$3,417.00 ","$5,679.00 ",1135,290
5,Hotels,Riyadh,"$2,083.00 ",501,"$1,563.00 ","$1,120.00 ",147,1550
6,Hotels,Dammam,"$16,260.00 ",59,"$1,296.00 ",$848.00 ,445,258
7,Export,Dammam,"$18,073.00 ",459,$364.00 ,3485,1063,712
8,Hotels,Qaseem,"$9,193.00 ",489,"$2,157.00 ",$327.00 ,780,548
9,Hotels,Dammam,"$20,874.00 ",156,"$1,783.00 ","$2,320.00 ",550,772
10,Hotels,Khobar,"$31,276.00 ",192,"$4,469.00 ","$9,408.00 ",2381,4334
11,Hotels,Dammam,"$9,561.00 ",222,"$1,664.00 ","$1,173.00 ",222,447
12,Export,Dammam,"$7,362.00 ",2186,$25.00 ,6818,1393,3105
13,,,"$9,385.00 ",153,"$1,422.00 ","$3,019.00 ",227,684
14,Retail,Dhahran,"$12,205.00 ",1270,"$28,540.00 ",$869.00 ,12034,1009
15,Retail,Hail,"$2,541.00 ",474,"$6,089.00 ","$2,946.00 ",5316,120
16,,,"$12,377.00 ",87,"$3,204.00 ","$1,398.00 ",149,452
17,Hotels,Dhahran,"$3,087.00 ",808,"$8,282.00 ",$661.00 ,721,36
18,Hotels,Riyadh,"$11,210.00 ",358,"$5,119.00 ",$561.00 ,1682,2398
19,Hotels,Khobar,"$30,379.00 ",1325,"$5,189.00 ",$321.00 ,51,1450
20,Hotels,Dhahran,$796.00 ,588,"$2,109.00 ",$340.00 ,232,776
21,Hotels,Khobar,"$68,951.00 ",441,"$12,609.00 ","$8,692.00 ",751,2406
22,Hotels,Dammam,"$22,686.00 ",13,$218.00 ,"$3,157.00 ",9,548
23,Retail,Qaseem,"$11,072.00 ",599,"$5,615.00 ","$8,321.00 ",955,2137
24,Retail,Dhahran,"$3,830.00 ",529,"$14,855.00 ",$317.00 ,6694,3182
25,Hotels,Makkah,"$29,635.00 ",234,"$8,280.00 ","$3,046.00 ",371,117
26,Hotels,Dammam,"$7,149.00 ",225,"$1,242.00 ","$1,619.00 ",1226,128
27,Retail,Dammam,$180.00 ,349,"$20,292.00 ",$959.00 ,5618,666
28,Retail,Khobar,"$8,040.00 ",764,"$11,687.00 ","$2,758.00 ",6839,404
29,Hotels,Dammam,"$11,173.00 ",252,"$3,355.00 ","$1,517.00 ",310,222
30,Hotels,Dhahran,"$3,366.00 ",288,"$2,431.00 ",$977.00 ,167,1104
31,,,"$43,088.00 ",210,"$2,609.00 ","$1,200.00 ",1107,823
32,Retail,Qaseem,"$2,532.00 ",1660,"$36,486.00 ",$179.00 ,13308,674
33,Retail,Dhahran,"$17,360.00 ",620,"$9,694.00 ","$1,293.00 ",3620,1721
34,Hotels,Khobar,"$24,904.00 ",384,"$5,330.00 ","$3,443.00 ",454,3178
35,Hotels,Madinah,"$16,933.00 ",221,"$3,389.00 ","$7,849.00 ",210,1534
36,Hotels,Dhahran,"$1,640.00 ",326,"$3,655.00 ",$868.00 ,1202,1653
37,Hotels,Qaseem,"$11,686.00 ",215,"$6,824.00 ","$3,527.00 ",592,697
38,Hotels,Dammam,"$19,176.00 ",307,"$5,956.00 ","$2,033.00 ",2575,2802
39,,,"$8,170.00 ",645,"$1,139.00 ","$2,181.00 ",58,247
40,Retail,Dammam,"$24,653.00 ",947,"$12,091.00 ",$294.00 ,5058,2168
41,Hotels,Dammam,"$18,291.00 ",127,"$21,042.00 ","$5,373.00 ",4173,14472
42,Hotels,Dhahran,"$27,167.00 ",280,"$2,128.00 ","$13,223.00 ",92,1902
43,Hotels,Tabuk,$444.00 ,88,"$2,060.00 ",$264.00 ,290,259
44,Hotels,Tabuk,$3.00 ,33,"$7,021.00 ","$15,601.00 ",15,550
45,Hotels,Tabuk,"$9,351.00 ",135,"$2,611.00 ","$8,170.00 ",442,868
46,Hotels,Riyadh,"$14,755.00 ",90,"$1,382.00 ","$1,765.00 ",56,749
47,Hotels,Hail,"$2,806.00 ",1077,"$15,538.00 ","$1,374.00 ",5828,2388
48,Hotels,Dammam,"$2,101.00 ",59,$314.00 ,$346.00 ,70,310
49,,,$518.00 ,418,"$3,600.00 ",$659.00 ,122,654
50,Hotels,Makkah,"$25,977.00 ",359,"$2,464.00 ","$2,369.00 ",140,1092
51,Hotels,Dhahran,"$18,044.00 ",108,"$2,000.00 ","$2,555.00 ",118,1266
52,Hotels,Qaseem,"$2,153.00 ",112,"$6,684.00 ","$4,324.00 ",,411
53,Retail,Dhahran,"$16,117.00 ",4620,"$92,780.00 ","$1,026.00 ",40827,2944
54,Hotels,Qaseem,"$1,869.00 ",58,$572.00 ,$950.00 ,4762,203
55,Retail,Khobar,"$1,989.00 ",1069,"$19,460.00 ",$233.00 ,11577,2153
56,Hotels,Khobar,"$4,456.00 ",527,"$13,227.00 ",$25.00 ,6818,1393
57,Hotels,Madinah,"$17,327.00 ",237,"$2,842.00 ","$1,149.00 ",351,925
58,Hotels,Dammam,"$25,066.00 ",501,"$5,026.00 ","$9,806.00 ",1092,960
59,Retail,Dammam,$260.00 ,868,"$13,430.00 ","$1,116.00 ",7015,323
60,Export,Khobar,"$6,884.00 ",744,$133.00 ,6740,776,314
61,Hotels,Khobar,"$2,926.00 ",320,"$3,268.00 ",$405.00 ,1680,693
62,Retail,Khobar,"$12,579.00 ",1111,"$17,569.00 ",$805.00 ,6457,1519
63,Export,Khobar,"$6,633.00 ",192,"$1,059.00 ",1803,668,558
64,,,"$3,009.00 ",52,$854.00 ,"$3,470.00 ",949,727
65,Hotels,Khobar,"$7,388.00 ",188,"$2,174.00 ",$720.00 ,47,537
66,,,"$9,061.00 ",83,$683.00 ,"$16,919.00 ",621,139
67,Hotels,Dhahran,"$14,100.00 ",213,"$3,445.00 ","$1,336.00 ",1491,548
68,Hotels,Qaseem,"$10,379.00 ",1797,"$4,748.00 ","$4,686.00 ",1547,3265
69,Retail,Dammam,"$8,190.00 ",634,"$9,794.00 ","$1,285.00 ",1901,1780
70,Retail,Dhahran,"$15,615.00 ",1265,"$19,858.00 ","$4,425.00 ",7108,2379
71,Hotels,Dammam,"$39,228.00 ",143,$764.00 ,"$4,510.00 ",93,2346
72,Hotels,Dhahran,"$4,627.00 ",100,"$4,438.00 ",$191.00 ,1335,314
73,Hotels,Dammam,"$8,708.00 ",363,"$6,100.00 ","$2,349.00 ",2123,5137
74,Retail,Dhahran,"$7,057.00 ",981,"$9,568.00 ","$1,762.00 ",3293,1776
75,Retail,Dhahran,"$3,366.00 ",540,"$12,974.00 ","$4,400.00 ",5977,1744
76,Hotels,Dhahran,"$3,428.00 ",238,"$2,028.00 ","$1,341.00 ",1184,665
77,Hotels,Dammam,"$2,787.00 ",170,"$2,510.00 ",$65.00 ,477,52
78,Retail,Dammam,"$13,146.00 ",112,"$4,523.00 ","$1,420.00 ",549,497
79,,,"$11,002.00 ",708,"$4,945.00 ","$1,152.00 ",120,395
80,Hotels,Dammam,"$29,955.00 ",436,"$5,428.00 ","$1,729.00 ",862,4626
81,Hotels,Dhahran,"$9,658.00 ",218,"$1,909.00 ","$5,639.00 ",215,323
82,Retail,Dhahran,"$9,198.00 ",2747,"$32,034.00 ","$3,232.00 ",18906,5130
83,Hotels,Dhahran,$955.00 ,548,"$6,536.00 ",$333.00 ,,707
84,Retail,Dammam,"$4,113.00 ",2048,"$25,957.00 ","$1,158.00 ",8604,5206
85,Hotels,Qaseem,"$5,396.00 ",750,"$10,646.00 ",$91.00 ,4167,239
86,Hotels,Khobar,"$56,082.00 ",350,"$8,906.00 ","$18,028.00 ",1480,2498
87,Retail,Tabuk,$243.00 ,1294,"$8,852.00 ",$799.00 ,3909,211
88,Hotels,Dammam,"$42,786.00 ",29,$471.00 ,"$1,388.00 ",32,22
89,Hotels,Makkah,$542.00 ,90,"$1,664.00 ",$414.00 ,88,522
90,Hotels,Qaseem,"$7,291.00 ",101,"$2,062.00 ","$1,291.00 ",240,1775
91,Retail,Khobar,$219.00 ,954,"$14,403.00 ",$283.00 ,7818,156
92,Hotels,Madinah,"$13,360.00 ",94,"$11,593.00 ",$915.00 ,1679,573
93,Hotels,Dhahran,"$11,442.00 ",103,$582.00 ,"$5,390.00 ",74,247
94,Hotels,Qaseem,"$1,956.00 ",89,"$5,226.00 ","$1,383.00 ",5,1328
95,Retail,Madinah,"$7,588.00 ",190,"$5,234.00 ",$417.00 ,2208,254
96,Retail,Tabuk,"$6,758.00 ",456,"$9,965.00 ",$934.00 ,4538,1037
97,Hotels,Dhahran,"$17,773.00 ",137,"$2,474.00 ","$3,378.00 ",811,418
98,Hotels,Qaseem,"$18,226.00 ",66,"$2,914.00 ","$3,752.00 ",586,578
99,Retail,Hail,"$3,062.00 ",615,"$13,916.00 ",$230.00 ,8933,2784
100,Hotels,Khobar,"$5,065.00 ",550,"$11,055.00 ",$364.00 ,3485,1063
101,Hotels,Khobar,"$6,990.00 ",388,"$5,380.00 ","$1,647.00 ",319,1160
102,Retail,Dammam,"$4,098.00 ",2989,"$26,866.00 ","$2,616.00 ",17740,1340
103,Retail,Tabuk,"$5,283.00 ",1332,"$20,399.00 ","$1,809.00 ",8752,172
