Sale-Price,Purchase-Date,Purchase-Price,Type,Class,Location,Shape,U-Index,Proximity,N-Rank,P-Chance,Built,Renovate,Access,Crime-Rate,C-Rating,Gov-Index,Contour,Garage,Swimming
9545.3,June-1980,2156.8,villa,residential,Border,rectangle,1,26608mts,9,0.4559323003349969,1967,1975.0,highway,13,2,7,NA,Yes, No
16653.6,February-2006,5949.5,villa,residential,Center,rectangle,2,17132,10,0.9375873653414104,1994,2003.0,alley,28,1,6,NA,Yes, No
17885.3,February-1978,11751.4,land,commercial,Border,rectangle,2,37824,9,0.16259536226610538,1960,,street,64,3,1,F,NA,NA
14053.0,March-1975,6829.6,villa,residential,Center,rectangle,1,19872mts,5,0.07031525177394471,1968,0.0,alley,68,1,6,NA,Yes, No
15741.2,November-1990,4469.3,duplex,residential,Center,irregular,2,2344mts,4,0.9145352625367034,1990,0.0,alley,26,1,7,NA,No,NA
17913.0,July-1979,9379.3,open land,residential,Border,trapezoid,3,32157,5,0.30973103982886707,1970,0.0,street,60,1,9,F,NA,NA
17324.2,December-2002,7666.4,flat,residential,Center,rectangle,1,2320,9,0.8220844838504155,1987,1997.0,street,58,4,9,NA,No,
13348.4,March-1988,2589.6,duplex,commercial,Center,trapezoid,2,4490mts,2,0.08750877354608566,1985,0.0,street,95,1,8,NA,Yes,
12584.7,December-2009,1946.5,flat,commercial,Border,rectangle,4,25827,7,0.4612432022490036,2003,0.0,highway,58,3,6,,No,NA
13367.5,Jul-1997,6169.6,flat,commercial,Outskirts,rectangle,1,54062,6,0.09807450886571834,1980,1991.0,highway,48,5,4,,No,
14386.1,January-1977,6708.5,duplex,commercial,Outskirts,trapezoid,5,61427mts,3,0.7887223884447984,1973,0.0,highway,50,2,6,,Yes,NA
15142.0,Aug-1992,3345.6,duplex,residential,Border,rectangle,5,38396,6,0.3277654678985865,1974,1983.0,street,71,5,5,NA,Yes,NA
20292.6,June-1979,4262.1,land,residential,Center,rectangle,1,10365,2,0.02562179644985385,1961,0.0,alley,8,2,4,F,NA,NA
17167.9,November-2009,8007.0,villa,residential,Center,trapezoid,4,19655,1,0.369754604044058,2001,0.0,alley,74,4,7,,Yes, No
19916.4,November-1993,9589.3,flat,residential,Center,rectangle,5,15811,7,0.5606601778744288,1992,0.0,alley,66,4,6,,No,
16807.4,Nov-1980,5166.5,open land,industrial,Border,trapezoid,5,34118,2,0.5313129005824564,1961,0.0,street,1,1,3,F,NA,
16761.4,Oct-1992,9479.9,duplex,residential,Border,rectangle,5,30824mts,9,0.3106528290035806,1982,1991.0,street,33,1,2,NA,Yes,NA
13304.7,September-1987,7196.2,villa,residential,Center,irregular,3,15131mts,8,0.7402475675809518,1982,0.0,alley,77,5,6,NA,Yes, No
20165.5,October-1992,1637.2,open land,residential,Center,rectangle,4,2402mts,9,0.5192947828614081,1973,,alley,42,2,9,C,NA,NA
13457.1,October-1980,2091.9,villa,residential,Center,trapezoid,5,19751mts,10,0.8257909292530098,1966,1974.0,street,8,4,10,NA,Yes,Yes
15480.8,March-76,7187.5,flat,residential,Center,rectangle,3,19343,4,0.2318238597365414,1958,1966.0,street,54,1,2,NA,Yes,
19808.9,May-1992,10994.0,duplex,residential,Center,trapezoid,5,23610,9,0.4697008116713677,1977,1985.0,street,22,5,1,NA,No,NA
9820.4,July-1985,1120.9,villa,residential,Border,rectangle,5,20525,10,0.1547752825732247,1977,0.0,highway,29,4,2,NA,Yes, No
17757.1,February-1998,9806.4,duplex,residential,Center,irregular,1,9773,7,0.3193039179156122,1997,0.0,alley,23,2,9,NA,No,NA
15263.4,Apr-1988,3913.7,villa,residential,Outskirts,trapezoid,3,52751mts,3,0.5093595372280412,1976,1987.0,highway,68,5,5,NA,Yes, No
21754.4,April-00,4629.6,duplex,commercial,Center,irregular,4,21639,8,0.7850105921679855,1983,1993.0,alley,4,4,7,,No,NA
14061.3,August-82,4742.8,land,commercial,Outskirts,irregular,2,60541mts,8,0.7828272015024833,1966,,highway,24,5,4,C,NA,NA
15695.9,January-1972,8804.8,flat,commercial,Center,rectangle,2,22422mts,10,0.6228009942141024,1965,0.0,street,57,5,2,,No,
9412.9,February-1996,8658.5,villa,residential,Border,irregular,1,21380,10,0.4282590211673247,1987,0.0,highway,15,2,9,NA,Yes,Yes
14267.7,March-1978,5458.1,flat,residential,Border,rectangle,2,29058,8,0.9040874466960608,1975,0.0,street,2,1,8,NA,Yes,
14098.9,May-2005,1376.4,duplex,commercial,Center,irregular,1,3662,9,0.36855322921616807,1990,2001.0,alley,41,5,5,,Yes,NA
16183.7,April-2004,4156.2,villa,residential,Border,trapezoid,2,31963,2,0.38133032987984505,2000,0.0,highway,35,5,7,NA,Yes, No
13907.1,July-1993,6088.8,flat,residential,Outskirts,trapezoid,1,68018mts,3,0.45362029523679137,1984,0.0,highway,26,3,4,NA,No,
18209.2,Nov-1978,11461.2,open land,commercial,Outskirts,rectangle,3,61678mts,9,0.930187405396475,1967,,highway,74,1,9,C,NA,NA
19057.2,November-05,11139.6,open land,industrial,Outskirts,trapezoid,2,50957,8,0.2756771857792186,1990,0.0,highway,15,2,9,F,NA,
17589.4,October-01,5182.2,open land,commercial,Border,trapezoid,4,34273mts,8,0.9726223058368935,1993,0.0,highway,28,4,9,C,NA,
18256.8,Oct-1970,10393.5,flat,commercial,Center,rectangle,5,21907,2,0.7477058280618508,1970,0.0,alley,74,1,8,NA,Yes,
15929.0,Oct-1981,7992.9,flat,residential,Center,trapezoid,1,6106,6,0.6903320226404736,1963,1972.0,alley,88,1,7,,No,NA
18536.2,August-1978,9508.5,open land,residential,Outskirts,rectangle,1,51785,7,0.8206251737396996,1961,0.0,highway,77,5,10,F,NA,NA
16412.3,May-1989,2935.7,duplex,commercial,Center,trapezoid,5,3601mts,4,0.6563796029879102,1976,1987.0,alley,83,4,4,NA,No,
15259.0,March-1992,5940.3,duplex,residential,Border,rectangle,5,32943,9,0.3439158826281222,1979,1988.0,highway,40,3,4,NA,No,NA
14091.2,October-82,7836.8,villa,residential,Center,irregular,5,17157,3,0.8396172076557318,1976,0.0,alley,45,3,3,NA,Yes, No
16199.8,August-1988,4769.8,flat,residential,Center,rectangle,1,24214,7,0.20982578270605723,1983,0.0,alley,98,5,3,NA,No,NA
21349.1,April-2007,1233.6,duplex,commercial,Center,trapezoid,1,7854mts,9,0.9113211884966254,1990,2001.0,alley,14,4,1,,Yes,NA
15647.2,December-1977,10391.0,duplex,commercial,Outskirts,rectangle,5,65005,9,0.8057091409647045,1973,0.0,highway,96,2,9,NA,No,NA
16433.5,June-94,6891.2,flat,commercial,Center,trapezoid,5,8928mts,6,0.7760753153411996,1976,1987.0,street,63,5,7,NA,No,
14551.4,Feb-2006,1839.1,flat,residential,Center,irregular,2,3325mts,9,0.6982510610359307,1991,2001.0,alley,21,4,4,,No,
17739.8,November-77,5749.6,duplex,residential,Center,trapezoid,4,11118mts,1,0.7602994050492395,1976,0.0,street,22,5,7,,No,NA
14844.2,September-1983,11114.3,villa,residential,Center,irregular,5,6857,4,0.783171124468427,1966,1975.0,alley,33,3,4,NA,Yes,Yes
14561.3,Oct-1992,1869.1,duplex,residential,Border,rectangle,3,38890,1,0.37282729640679013,1981,1989.0,street,41,3,5,NA,No,
14005.4,August-1990,7361.8,villa,residential,Center,trapezoid,5,16131,8,0.8730371281903957,1986,0.0,street,83,2,3,,Yes, No
11666.4,October-2005,2143.0,duplex,commercial,Outskirts,irregular,4,74081,7,0.25762907066148355,1990,2000.0,highway,49,4,3,NA,Yes,NA
7471.3,February-1981,1233.9,flat,commercial,Outskirts,irregular,3,54747mts,6,0.5707426307396997,1981,0.0,highway,79,1,1,,No,NA
12487.8,March-1995,1919.7,villa,residential,Center,rectangle,2,22170,5,0.6573048974848182,1986,0.0,street,83,1,7,,Yes, No
