Sale-Price,Purchase-Date,Purchase-Price,Type,Class,Location,Shape,U-Index,Proximity,N-Rank,P-Chance,Built,Renovate,Access,Crime-Rate,C-Rating,Gov-Index,Contour,Garage,Swimming
11896.0,September-1975,2474.5,duplex,residential,Center,irregular,2,8171,10,0.47321015060180505,1964,1973,street,59,3,4,NA,No,NA
17187.2,December-1991,2414.2,open land,industrial,Center,irregular,5,10290,1,0.0647442239594258,1979,0,alley,24,3,1,F,NA,NA
12756.4,August-1989,2453.3,duplex,residential,Center,irregular,5,9940,8,0.1157407876283918,1983,0,street,94,3,5,NA,No,NA
14722.9,October-1973,2513.7,open land,commercial,Outskirts,trapezoid,5,69542,4,0.3003229899555364,1967,0,highway,68,1,9,C,NA,NA
17694.9,December-1981,8691.7,open land,industrial,Center,trapezoid,1,3328,5,0.017303691953358014,1962,0,street,88,4,8,F,NA,NA
18999.7,April-1982,2915.4,flat,commercial,Center,trapezoid,2,11117,7,0.989458297231279,1976,0,street,47,5,10,NA,No,NA
9065.0,February-2000,1751.7,villa,residential,Center,irregular,1,17016,9,0.2998758113168388,1993,0,street,37,1,1,NA,Yes,Yes
20709.5,April-1994,8720.7,duplex,residential,Outskirts,trapezoid,3,56484,2,0.282200714455649,1991,0,highway,11,2,2,NA,Yes,NA
14495.7,March-1986,1910.2,open land,commercial,Border,rectangle,1,31236,7,0.5332653594695851,1973,0,street,88,2,9,C,NA,NA
10681.2,February-1999,1331.3,flat,residential,Outskirts,irregular,3,73883,10,0.41272773897066717,1982,1991,highway,36,5,1,NA,No,NA
13728.8,August-1996,7486.5,flat,commercial,Border,rectangle,4,27014,8,0.6917311584399889,1986,1995,street,88,2,3,NA,No,NA
11136.7,August-2002,4147.0,villa,residential,Outskirts,trapezoid,3,52156,4,0.2707605890253697,1996,0,highway,59,4,8,NA,Yes,Yes
11993.9,July-1983,6962.6,villa,residential,Border,trapezoid,3,37147,2,0.4767593509558129,1967,1977,street,30,4,1,NA,Yes, No
20276.8,July-1985,10557.3,open land,industrial,Center,rectangle,3,19809,3,0.780071431905971,1984,0,street,62,3,1,C,NA,NA
16287.6,February-1999,8528.5,duplex,residential,Border,rectangle,3,21666,2,0.5548753428575703,1981,1991,street,62,3,2,NA,Yes,NA
18449.6,November-2009,6513.0,open land,commercial,Outskirts,trapezoid,4,76020,7,0.6941911733047937,1993,0,highway,70,4,9,C,NA,NA
12045.5,November-1982,4215.6,duplex,commercial,Border,trapezoid,2,37825,1,0.6821684979170078,1972,1983,street,88,2,1,NA,Yes,NA
13306.5,January-1986,8422.7,duplex,residential,Border,irregular,3,31016,1,0.9529835626084614,1985,0,highway,54,4,6,NA,Yes,NA
11216.1,March-1973,6625.2,villa,residential,Center,irregular,5,10924,9,0.78824946349286,1954,1963,street,57,2,7,NA,Yes, No
17669.0,March-2000,5032.0,open land,commercial,Center,irregular,4,19835,2,0.19299216527356822,1988,0,street,30,3,9,C,NA,NA
16142.3,November-1980,1496.5,open land,industrial,Center,irregular,1,10403,5,0.5966361063077839,1970,0,alley,36,4,10,F,NA,NA
14191.5,June-1980,1298.3,flat,commercial,Center,rectangle,1,11577,4,0.054979659048866925,1963,1973,alley,45,3,4,NA,Yes,NA
9952.9,January-1979,2051.9,villa,residential,Border,rectangle,5,20000,1,0.37417929299943475,1972,0,street,99,4,4,NA,Yes, No
13180.7,August-1983,9819.7,villa,residential,Center,irregular,4,5229,6,0.6956244464904299,1975,0,street,57,5,8,NA,Yes, No
15199.8,November-1997,4261.2,flat,residential,Outskirts,rectangle,4,78372,1,0.43761864436249553,1991,0,highway,23,3,2,NA,No,NA
16667.2,February-1989,1258.2,open land,industrial,Border,rectangle,5,35682,4,0.9352539751720474,1982,0,street,49,5,6,C,NA,NA
16493.7,January-1996,1717.8,duplex,commercial,Center,trapezoid,5,19507,9,0.6275646778673307,1994,0,street,25,4,8,NA,No,NA
12806.7,October-1987,4124.1,villa,residential,Center,trapezoid,5,8900,2,0.00010487553577009923,1968,1977,street,57,3,4,NA,Yes, No
13302.5,September-1975,2900.3,flat,residential,Border,rectangle,4,37704,1,0.244039189047491,1956,1965,street,23,2,6,NA,No,NA
13626.0,December-1972,5966.8,duplex,commercial,Center,irregular,2,18648,3,0.7689755122198908,1970,0,alley,86,2,2,NA,No,NA
19042.5,January-2008,1193.3,open land,residential,Center,rectangle,5,15045,6,0.621762597955702,1994,0,street,61,1,1,C,NA,NA
