Sale-Price,Purchase-Date,Purchase-Price,Type,Class,Location,Shape,U-Index,Proximity,N-Rank,P-Chance,Built,Renovate,Access,Crime-Rate,C-Rating,Gov-Index,Contour,Garage,Swimming
21108.7,July-1983,10532.7,open land,industrial,Center,trapezoid,3,13946,5,0.3371458874142238,1968,0,street,6,5,8,F,NA,NA
17268.7,August-2000,7805.2,villa,residential,Center,rectangle,3,13417,4,0.5330464441613453,1995,0,alley,20,5,1,NA,Yes,Yes
14937.4,July-1977,7796.6,duplex,residential,Center,irregular,1,8019,7,0.14334933327499533,1962,1971,street,2,3,10,NA,No,NA
22992.1,April-2002,11067.8,villa,residential,Center,rectangle,2,2821,1,0.5744637249830138,1997,0,alley,39,4,6,NA,Yes, No
17458.7,July-1991,3913.6,open land,industrial,Center,irregular,5,3872,4,0.9635054499930016,1991,0,alley,52,1,3,F,NA,NA
15478.2,March-1972,4303.6,open land,industrial,Outskirts,rectangle,1,80425,2,0.9860882777482385,1960,0,highway,35,1,3,C,NA,NA
13695.3,September-1992,3182.5,flat,residential,Border,trapezoid,3,31000,7,0.25896191946435054,1985,0,street,27,5,9,NA,No,NA
7063.0,August-1980,3846.0,villa,residential,Border,irregular,5,23434,3,0.3229065811422873,1975,0,highway,91,3,9,NA,Yes,Yes
18932.6,April-1976,2390.2,open land,industrial,Outskirts,rectangle,2,56461,1,0.4702206647249064,1968,0,highway,46,1,4,C,NA,NA
18218.6,May-1983,7874.4,open land,residential,Center,irregular,3,25391,5,0.6922335392123792,1974,0,street,45,5,3,C,NA,NA
13636.0,September-1996,4721.4,duplex,residential,Border,irregular,3,38397,2,0.598898717311225,1995,0,street,35,5,6,NA,Yes,NA
11546.4,July-1980,1348.6,flat,residential,Outskirts,rectangle,4,65368,2,0.19604615780144607,1962,1972,highway,99,4,2,NA,No,NA
11952.6,February-1974,5487.9,flat,residential,Center,irregular,1,8813,7,0.5442955565437434,1957,1966,street,62,2,10,NA,Yes,NA
13897.0,October-2000,1171.8,duplex,commercial,Outskirts,rectangle,5,77329,8,0.0028862688908640743,1989,1999,highway,51,2,6,NA,No,NA
18520.8,February-1981,9478.1,flat,commercial,Center,trapezoid,4,16066,6,0.646236330135091,1969,1980,alley,1,3,5,NA,No,NA
10792.3,March-1973,10765.8,villa,residential,Outskirts,trapezoid,1,50628,8,0.2873365016362436,1970,0,highway,55,1,8,NA,Yes,Yes
14488.8,October-1985,3148.7,open land,commercial,Outskirts,irregular,4,58523,10,0.9017512162057358,1973,0,highway,33,3,10,F,NA,NA
12350.1,July-1995,1519.9,flat,commercial,Center,irregular,5,8537,5,0.8694442823556725,1982,1993,street,48,2,7,NA,Yes,NA
8131.7,December-1993,3699.6,villa,residential,Border,irregular,5,26208,7,0.3224432382204746,1983,1992,highway,71,4,5,NA,Yes, No
18426.7,June-1980,11980.5,open land,residential,Outskirts,trapezoid,4,65307,8,0.09800061078726896,1962,0,highway,53,3,2,C,NA,NA
